Poly Bridge 2 - 5-13C "Spring and a Miss" any% leaderboard (* = breaks)
Updated 2022-03-02T00:29:27.623Z
600/794 unique ranks shown

   *1. $20,243  Cookieblues
    2. $20,331  Trygeve
   *3. $23,672  Bellair08
    4. $25,513  geroniberry
    5. $25,841  minecat
    6. $26,392  lukas.bornheim
    7. $26,393  biorni999
   *8. $27,974  Fathom
   *9. $29,569  MOD
  *10. $29,697  Bibbb
  *11. $29,999  9k5
  *12. $30,183  Zen
  *13. $30,555  palfly15
   14. $31,298  MuscleMuscleDigDa
   15. $34,988  Strawman
   16. $36,704  kraal
   17. $37,672  7777Alex7777
   18. $38,427  lee731017
   19. $38,955  alexmoreno524
   20. $38,999  Soba
   21. $39,888  Jujublackmagic
   22. $40,809  Lagiiiie
   23. $42,100  Jhay80416
   24. $42,629  Slacker
   25. $44,183  zero
   26. $44,649  cam
   27. $45,423  cliff007
  *28. $45,734  Realyum
   29. $46,518  Berixis
   30. $46,965  TheSadSlinky
   31. $47,259  Heater
   32. $47,411  XIEPER
  *33. $47,573  alex
   34. $48,633  Mizuhana
   35. $49,770  Jormungandr
   36. $49,789  elisholst
   37. $49,977  theo.louesdon
  *38. $50,000  jeremywinick
  *39. $50,577  sebastian.d.higgins
  *40. $50,587  Stabhole
   41. $50,700  MBS4444
   42. $50,746  hmx0311
   43. $51,417  CursorCoercer
   44. $52,466  504874975
   45. $52,495  Draradech
   46. $52,699  connor.bray.ricks
   47. $52,702  xIRasten
   48. $53,736  Scotty
  *49. $53,765  marciochb
   50. $53,940  SRA
   51. $54,672  davidloh
   52. $54,927  RoDoX
   53. $56,827  huurainotoruneko
  *54. $57,669  piewilldie
  *55. $57,766  Whyit1
   56. $57,879  Honn
  *57. $58,198  Jacowboy
   58. $58,595  Thoomor
   59. $58,851  Luuroon
   60. $59,000  Freedom_IT
   61. $59,093  Sandor Of The MIsts
   62. $59,255  NoName
  *63. $59,386  GoodMath
   64. $60,156  Looming
   65. $60,984  theslaad
   66. $62,038  Baldur
   67. $62,749  pome.😈
   68. $62,886  tylerhbateman
   69. $63,179  Pugloney29
   70. $63,434  TitiMcFly_
   71. $64,085  Shmojelfed
   72. $65,406  Mikie
   73. $65,748  MoscaTonta
   74. $65,752  leonid_krebs
   75. $66,007  oBSTER
   76. $66,568  Face7
   77. $66,582  SALTY
   78. $66,684  1794982934
   79. $66,797  XxTrollFacexX
   80. $67,474  R
   81. $67,476  Icysnowman
   82. $67,600  DoubleJumper
   83. $67,879  dayuanxian
   84. $68,163  zj520zp
   85. $68,602  MrglMrgl
   86. $69,420  BaconPancakes
   87. $69,420  Valnix
   88. $69,893  maxblue456
   89. $70,099  w85219200wilson
   90. $70,175  Dahutix
   91. $70,533  Katamari (old)
  *92. $70,768  david.c.hagglund
  *93. $70,828  nick
