Poly Bridge 2 - 1-10 "First Jump" any% leaderboard (* = breaks)
Updated 2022-10-09T00:46:14.350Z
1000/404852 unique ranks shown

   *1. $282   9k5
   *2. $283   Lagiiiie
   *3. $283   ALiCe
   *4. $283   akkun_ouo
   *5. $438   Shadow
   *6. $477   somefakegamer
   *7. $499   Trygeve
   *8. $499   Cookieblues
   *9. $533   からず
  *10. $617   minecat
  *11. $628   Dusty
  *12. $634   Crimson
  *13. $634   palfly15
  *14. $639   thenoob9487
  *15. $781   MOD
  *16. $781   geroniberry
  *17. $899   Fathom
  *18. $899   Zen
  *19. $1,256 Alexey
   20. $1,828 7777Alex7777
  *21. $1,850 Bellair08
  *22. $1,919 2540515493
   23. $1,920 Bibbb
   24. $1,921 Noahsorou
   25. $1,957 Pengujedi
  *26. $1,993 notdocq
   27. $2,000 Joshimuz
   28. $2,050 FierceKitty131
  *29. $2,072 薛定谔的狗子
  *30. $2,106 ~ Smithy ~
  *31. $2,116 Thpetre
   32. $2,183 ღ研磨劑᭄ꦿ࿐
  *33. $2,615 Valnix
  *34. $2,655 Realyum
   35. $2,673 SoulWager
  *36. $2,718 Sporickan
  *37. $2,739 Heater
  *38. $2,816 Alison
   39. $3,411 Hinnie
  *40. $3,706 GuacamoleLover27
   41. $3,837 SlurpyCollin2019
  *42. $3,842 Angular Tin
   43. $3,986 BeljihnWahfl
   44. $4,105 moonrid3r
   45. $4,109 Honn
  *46. $4,132 Roevhaal
   47. $4,143 502138111
   48. $4,215 EssentailAttack
  *49. $4,226 LuckyBoomer
   50. $4,253 fantakilla
   51. $4,270 TheSadSlinky
   52. $4,292 gamespilgame
   53. $4,296 Nin-Tanner
   54. $4,300 yoedaddy24-7
   55. $4,319 Red Charge
   56. $4,321 maash
   57. $4,321 metatropic
   58. $4,321 cavetroll
   59. $4,321 MoonlitJolty
   60. $4,321 Shippo
   61. $4,321 zeller-alex
   62. $4,321 TTV oSPK_
  *63. $4,391 liamjb10
   64. $4,421 Frosty
  *65. $4,432 CursorCoercer
   66. $4,447 gthompson1129
  *67. $4,502 araskerem
   68. $4,550 joshwoz118
   69. $4,677 JakubBouska
   70. $4,683 staubman1
   71. $4,691 Snorflof
   72. $4,773 MYCRAFTisbest
   73. $4,839 adambrianschmidt
  *74. $4,857 bruhliver
   75. $4,922 Jhay80416
   76. $4,930 david.c.hagglund
   77. $4,933 andysoldier
   78. $4,937 Chris
  *79. $4,999 Lippy aka Ted
   80. $5,033 CavoX5
   81. $5,040 LegitGopnik
   82. $5,049 Ace_Falken
   83. $5,069 Sean Stein (8uzz1n)
  *84. $5,076 ✪Hek1✪
   85. $5,078 Rtnyn
   86. $5,155 BaconPancakes
   87. $5,175 barryreichphd
   88. $5,178 david.blaettler02
   89. $5,188 Oloin
   90. $5,207 Patience
   91. $5,275 J00P
  *92. $5,276 epicalex4444
  *93. $5,285 timinigi
  *94. $5,296 哎呦微
  *95. $5,296 chenjh0706
   96. $5,298 SilverSylvester
   97. $5,320 RisingStar
   98. $5,321 Losba
   99. $5,326 114623050
  100. $5,340 Shake Shaxx Milk Jugs
  101. $5,353 cam
  102. $5,362 Stay Home Dummy
  103. $5,365 Yixeo
  104. $5,378 lightningmcqueendies
  105. $5,386 Swarm
  106. $5,394 francois.brand
  107. $5,396 Aidan 7.0
  108. $5,428 HiredToKill_12
  109. $5,447 nhaven14
  110. $5,476 lunanski
  111. $5,483 南方的萝北
  112. $5,484 UkiArcticFox
  113. $5,487 Eb1toad
