Poly Bridge 2 - 4-07 "Big Spender" unbreaking leaderboard
Updated 2022-04-07T00:34:30.258Z
1000/43228 unique ranks shown

    1. $5,269 9k5
    2. $5,287 Bellair08
    3. $5,287 jonaTHOT
    4. $5,290 7777Alex7777
    5. $5,310 Trygeve
    6. $5,402 114623050
    7. $5,492 Noahsorou
    8. $5,498 Baderkles
    9. $5,560 v.g.plante
   10. $5,568 GF——LONGWU
   11. $5,582 Friar Laurence
   12. $5,591 Zen
   13. $5,599 akkun_ouo
   14. $5,628 thoma7fglut6
   15. $5,643 MOD
   16. $5,644 gamespilgame
   17. $5,646 Confirm NotJonah
   18. $5,650 Fathom
   19. $5,650 mindo339
   20. $5,652 ~ Smithy ~
   21. $5,652 mooseman0423
   22. $5,653 BeljihnWahfl
   23. $5,663 ×ゆす
   24. $5,666 Bibbb
   25. $5,668 geroniberry
   26. $5,669 somefakegamer
   27. $5,669 Heater
   28. $5,669 TheSadSlinky
   29. $5,677 GuacamoleLover27
   30. $5,682 Lagiiiie
   31. $5,682 Alison
   32. $5,682 jonavenk
   33. $5,682 FierceKitty131
   34. $5,694 tuntaromaru
   35. $5,714 Cookieblues
   36. $5,742 Conqu3red
   37. $5,745 Phoneas
   38. $5,757 zyc1102zyc
   39. $5,832 XxTrollFacexX
   40. $5,880 BaconPancakes
   41. $5,907 Mopar Madness
   42. $5,922 nhaven14
   43. $5,923 Quadley
   44. $5,967 TheDynamicRam
   45. $5,980 Galaxy
   46. $5,981 cyko
   47. $5,999 DragonChef91
   48. $6,000 Shadow
   49. $6,043 Kalorienreduziert
   50. $6,051 ole.van.tiel
   51. $6,062 palfly15
   52. $6,089 m.a.swertz
   53. $6,124 Crimson
   54. $6,145 Donut
   55. $6,165 amandachertavu
   56. $6,211 Huntersax
   57. $6,282 itsiques2x
   58. $6,384 lee731017
   59. $6,430 zeller-alex
   60. $6,487 Captain Jones
   61. $6,499 RisingStar
   62. $6,508 kraal
   63. $6,541 9847
   64. $6,614 goldenpggie
   65. $6,692 BlueCassio
   66. $6,872 Smehobo
   67. $6,873 Limespy
   68. $6,880 Reto
   69. $6,922 Gaotosky10
   70. $6,969 Sexy Boy Industries [woop]
   71. $7,098 EAMoney97
   72. $7,174 nokipoika
   73. $7,193 Aklhys
   74. $7,274 Shadow Blades
   75. $7,358 fantakilla
   76. $7,385 kenny
   77. $7,430 zezetel
   78. $7,470 lancekro
   79. $7,576 delightfulgiraffe
   80. $7,764 andrew
   81. $7,988 benevanssmith
   82. $8,014 beesman93
   83. $8,038 Certified Whale Biologist
   84. $8,074 Rax
   85. $8,165 cool guy
   86. $8,167 Player
   87. $8,176 Valnix
   88. $8,231 Barandan
   89. $8,399 The Kraken
   90. $8,449 wanqingbird
   91. $8,451 augieinpdx
   92. $8,459 Larry the Dota Guy
   93. $8,461 Sective
   94. $8,479 Honn
   95. $8,479 Enchanted Spider
   96. $8,479 2540515493
   97. $8,480 sethandtiki
   98. $8,488 alex
   99. $8,496 bettina-knipping
  100. $8,497 Tryrik
  101. $8,497 lunanski
  102. $8,497 comet_107
  103. $8,498 ScrubRJ
  104. $8,501 滑地上之小稽
  105. $8,505 Icysnowman
  106. $8,505 minecat
  107. $8,508 marian
  108. $8,511 Brabb3l
  109. $8,511 evanjdavies2018
  110. $8,513 Loner
  111. $8,513 jimmyscully
  112. $8,516 Saint^
  113. $8,516 540369639
  114. $8,517 Chucklestein603
  115. $8,518 unge
  116. $8,519 call me Jaun
  117. $8,520 Refrigerator
  118. $8,521 CypherTault
  119. $8,523 CHICKENFACE97
  120. $8,525 MrOp
  121. $8,526 Meowzila
  122. $8,528 Darebear009
  123. $8,528 Chipper
  124. $8,528 Bobby Boi
  125. $8,534 Whyit1
  126. $8,534 满岛影
  127. $8,538 slicedtoad
  128. $8,540 JackSoapy
  129. $8,541 Draster
  130. $8,543 scott_blah
  131. $8,551 tinypenguin000
  132. $8,552 Bonja
  133. $8,552 bily_dai
  134. $8,555 noobskinninja
  135. $8,558 BboyParkour
  136. $8,560 impossible532
