Poly Bridge 2 - 4-07 "Big Spender" any% leaderboard (* = breaks)
Updated 2026-02-16T01:09:30.186Z
1000/83200 unique ranks shown

   *1. $299   akkun_ouo
   *2. $299   Dusty
   *3. $312   9k5
   *4. $326   Chris
   *5. $330   Lagiiiie
   *6. $345   somefakegamer
   *7. $355   Monlig-滑地上之小稽
   *8. $420   Cookieblues
   *9. $438   LilliNeko
  *10. $465   curvi0815
  *11. $468   ScamMeister
  *12. $469   Zen
  *13. $479   Quillslash
  *14. $479   geroniberry2
  *15. $482   thenoob9487
  *16. $505   msrimh
  *17. $510   a368787
  *18. $510   Shadow
  *19. $510   syunmario
  *20. $655   RedstoneTier
  *21. $669   Icysnowman
  *22. $669   Fathom
  *23. $669   palfly15
  *24. $737   Trygeve
  *25. $826   MOD
  *26. $897   Bellair08
  *27. $927   Crimson
  *28. $927   JDis
  *29. $969   minecat
  *30. $1,024 Bibbb
  *31. $1,024 Friar Laurence
  *32. $1,476 Conqu3red
  *33. $1,846 GuacamoleLover27
   34. $5,077 +!-_?/
   35. $5,287 jonaTHOT
   36. $5,290 7777Alex7777
   37. $5,385 lollyH2O
   38. $5,402 114623050
   39. $5,492 Noahsorou
   40. $5,498 Baderkles
   41. $5,560 v.g.plante
   42. $5,568 GF——LONGWU
   43. $5,621 mindo339
   44. $5,628 thoma7fglut6
   45. $5,628 garcishyl77a
   46. $5,641 Nebula_Bebula
   47. $5,644 gamespilgame
   48. $5,646 Confirm NotJonah
   49. $5,652 ~ Smithy ~
   50. $5,652 mooseman0423
   51. $5,653 BeljihnWahfl
  *52. $5,655 DaveMcW
   53. $5,663 ×ゆす
   54. $5,669 TheSadSlinky
   55. $5,669 Heater
   56. $5,669 Burning Curtains
   57. $5,682 Alison
   58. $5,682 jonavenk
   59. $5,682 FierceKitty131
   60. $5,694 tuntaromaru
   61. $5,699 the_gamingpenguin
   62. $5,745 Phoneas
   63. $5,756 serial killer
   64. $5,757 zyc1102zyc
   65. $5,832 XxTrollFacexX
   66. $5,880 BaconPancakes
   67. $5,907 Mopar Madness
   68. $5,922 nhaven14
   69. $5,923 Quadley
   70. $5,967 TheDynamicRam
   71. $5,980 Galaxy
   72. $5,981 cyko
   73. $5,996 BlueCassio
   74. $5,999 DragonChef91
   75. $6,043 Kalorienreduziert
   76. $6,047 ___
   77. $6,051 ole.van.tiel
   78. $6,089 m.a.swertz
   79. $6,145 Donut
   80. $6,148 steinvalentijn
   81. $6,165 amandachertavu
   82. $6,211 Huntersax
   83. $6,251 love.almelin
   84. $6,265 KillTracker
   85. $6,282 itsiques2x
   86. $6,379 whitephoenix613
   87. $6,384 lee731017
   88. $6,430 zeller-alex
   89. $6,471 andyholloway
   90. $6,487 Captain Jones
   91. $6,499 RisingStar
   92. $6,508 kraal
  *93. $6,516 goldenpggie
   94. $6,519 vivalarebellion
   95. $6,541 9847
   96. $6,601 2008brandonhill
   97. $6,661 Weirdone
   98. $6,872 Smehobo
   99. $6,873 Limespy
  100. $6,880 Reto
  101. $6,888 C4TNinja
  102. $6,922 Gaotosky10
  103. $6,952 gthompson1129
  104. $6,953 phoenixng0831
  105. $6,969 Sexy Boy Industries [woop]
  106. $7,028 lumas50maggy
  107. $7,098 EAMoney97
  108. $7,174 nokipoika
  109. $7,193 Aklhys
  110. $7,214 sethandtiki
  111. $7,274 Shadow Blades
  112. $7,283 Hampje
 *113. $7,293 renault 9 1HP 1600CC valor DM
  114. $7,358 fantakilla
  115. $7,385 kenny
  116. $7,430 zezetel
  117. $7,470 lancekro
  118. $7,576 delightfulgiraffe
  119. $7,764 andrew
  120. $7,823 CertifiedHappy
 *121. $7,878 Rax
  122. $7,988 benevanssmith
  123. $8,014 beesman93
  124. $8,038 Certified Whale Biologist
  125. $8,165 cool guy
  126. $8,167 Player
  127. $8,176 Valnix
  128. $8,231 Barandan
  129. $8,399 The Kraken
 *130. $8,422 dylanwenger9
  131. $8,449 wanqingbird
  132. $8,451 augieinpdx
  133. $8,459 Larry the Dota Guy
  134. $8,461 Sective
  135. $8,479 Enchanted Spider
  136. $8,479 Honn
  137. $8,479 2540515493
  138. $8,488 alex
  139. $8,496 bettina-knipping
  140. $8,497 comet_107
  141. $8,497 Tryrik
  142. $8,497 lunanski
  143. $8,498 ScrubRJ
  144. $8,501 janujanu
  145. $8,508 marian
  146. $8,511 evanjdavies2018
  147. $8,511 Brabb3l
  148. $8,513 jimmyscully
  149. $8,513 Loner
  150. $8,516 Saint^
  151. $8,516 540369639
  152. $8,517 Chucklestein603
  153. $8,517 TheDepressedTaco
  154. $8,518 unge
  155. $8,519 call me Jaun
  156. $8,520 Refrigerator
  157. $8,520 MiniBroHD
  158. $8,521 CypherTault
  159. $8,523 CHICKENFACE97
  160. $8,525 MrOp
  161. $8,526 Meowzila
  162. $8,528 Chipper
  163. $8,528 Bobby Boi
  164. $8,528 Darebear009
  165. $8,531 Pokepaul
  166. $8,534 Whyit1
  167. $8,534 满岛影
  168. $8,537 pete
  169. $8,538 slicedtoad
  170. $8,540 JackSoapy
  171. $8,540 cbnu1999
  172. $8,541 Draster
  173. $8,543 scott_blah
 *174. $8,545 Ski Mask The BORK God
  175. $8,546 c_cyra364
  176. $8,551 tinypenguin000
  177. $8,551 hope it does
  178. $8,552 Bonja
  179. $8,552 bily_dai
  180. $8,555 noobskinninja
  181. $8,558 BboyParkour
  182. $8,560 impossible532
  183. $8,560 猫の手
  184. $8,561 Go Seigen
  185. $8,561 GamingLike_A_Pro
  186. $8,562 LyteStarr
  187. $8,565 bytue
  188. $8,567 CasperClarke
  189. $8,567 Marcel
  190. $8,567 A Magical Penguin Wizard
  191. $8,568 Jhay80416
  192. $8,568 ♛Mk17♛
  193. $8,571 홍상추
  194. $8,572 noahtheninja
  195. $8,573 cfloyd2002
  196. $8,576 Sixtails
  197. $8,576 涵某某
  198. $8,578 alextroycampbell
  199. $8,578 1922747441
  200. $8,582 jfr77777
  201. $8,600 Soba
  202. $8,600 YaMa
  203. $8,603 axwellmay56
  204. $8,609 Korean
  205. $8,612 mikiethepenguin
  206. $8,613 Toe Knee
  207. $8,617 csimath75
  208. $8,617 daveee58
  209. $8,618 сукассбронли
  210. $8,627 +25 Only
  211. $8,632 6545430
  212. $8,636 kunkun
  213. $8,643 toyotaguy424
  214. $8,648 Graceful97
  215. $8,651 shintaniaz
 *216. $8,685 sinter
 *217. $8,696 Jakube 77777
  218. $8,700 HawkEyed
  219. $8,703 YES BUT WHY?
  220. $8,714 m4w30
  221. $8,715 MYC
  222. $8,718 ZiuTinyat
  223. $8,724 3255053433
  224. $8,725 Skretchii
  225. $8,731 boy_1der
  226. $8,731 Entropics
  227. $8,737 JakubBouska
  228. $8,753 auntratty
  229. $8,754 lsh09080706
  230. $8,757 123
  231. $8,758 ruphia1776
  232. $8,758 Georgette gamer
  233. $8,763 TheGameGamer_jayahn0909
  234. $8,764 tuftoark
  235. $8,764 btheg
  236. $8,764 ApplePi
  237. $8,766 19191919191p
